gross_revenue,product_category_name
1258681,beleza_saude
1205006,relogios_presentes
1036989,cama_mesa_banho
988049,esporte_lazer
911954,informatica_acessorios
729762,moveis_decoracao
635291,cool_stuff
632249,utilidades_domesticas
592720,automotivo
485256,ferramentas_jardim
483947,brinquedos
411765,bebes
399125,perfumaria
323668,telefonia
273961,moveis_escritorio
230943,papelaria
222963,pcs
214315,pet_shop
191499,instrumentos_musicais
